DROGA ;MARCA ;PRESENTACION;LABORATORIO;COBERTURA;COPAGO
lorazepam;PLARDOX;1 mg comp.x 100;Lafedar;50%;$ 3569.19
lorazepam;LORAZEPAN CHOBET;1 mg comp.x 100;Soubeiran Chobe;50%;$ 4353.26
lorazepam;SIDENAR;1 mg comp.x 100;Teva Argentina;50%;$ 4446.49
lorazepam;EMOTIVAL;1 mg comp.x 100;Teva Argentina;50%;$ 4597.53
lorazepam;LORAZEPAN CHOBET;1 mg comp.x 20;Soubeiran Chobe;50%;$ 1195.84
lorazepam;SIDENAR;1 mg comp.x 20;Teva Argentina;50%;$ 1512.78
lorazepam;LORAZEPAN CHOBET;1 mg comp.x 30;Soubeiran Chobe;50%;$ 1987.42
lorazepam;TRAPAX;1 mg comp.x 30;Pfizer;50%;$ 1987.42
lorazepam;EMOTIVAL;1 mg comp.x 30;Teva Argentina;50%;$ 1987.75
lorazepam;TRAPAX SUBLINGUAL;1 mg comp.x 30;Pfizer;50%;$ 3814.06
lorazepam;PLARDOX;1 mg comp.x 50;Lafedar;50%;$ 2523.64
lorazepam;LORAZEPAN CHOBET;1 mg comp.x 50;Soubeiran Chobe;50%;$ 2657.04
lorazepam;SIDENAR;1 mg comp.x 50;Teva Argentina;50%;$ 3243.84
lorazepam;TRAPAX;1 mg comp.x 50;Pfizer;50%;$ 3439.86
lorazepam;APLACASSE;1 mg comp.x 50;Siegfried;50%;$ 3653.56
lorazepam;LORAZEPAN CHOBET;1 mg comp.x 60;Soubeiran Chobe;50%;$ 3454.7
lorazepam;EMOTIVAL;1 mg comp.x 60;Teva Argentina;50%;$ 3697.66
lorazepam;TRAPAX;1 mg comp.x 60;Pfizer;50%;$ 3838.69
lorazepam;LORAZEPAN CHOBET;2 mg comp.subl.x 50;Soubeiran Chobe;50%;$ 5922.92
lorazepam;LORAZEPAN CHOBET;2 mg comp.subling.x 5;Soubeiran Chobe;50%;$ 786.93
lorazepam;EMOTIVAL;2 mg comp.x 100;Teva Argentina;50%;$ 6565.32
lorazepam;LORAZEPAN CHOBET;2 mg comp.x 100;Soubeiran Chobe;50%;$ 6579.92
lorazepam;LORAZEPAN CHOBET;2 mg comp.x 20;Soubeiran Chobe;50%;$ 1766.45
lorazepam;LORAZEPAN CHOBET;2 mg comp.x 30;Soubeiran Chobe;50%;$ 2234.62
lorazepam;EMOTIVAL;2 mg comp.x 30;Teva Argentina;50%;$ 2478.35
lorazepam;LORAZEPAN CHOBET;2 mg comp.x 50;Soubeiran Chobe;50%;$ 4034.01
lorazepam;LORAZEPAN CHOBET;2 mg comp.x 60;Soubeiran Chobe;50%;$ 4039.51
lorazepam;EMOTIVAL;2 mg comp.x 60;Teva Argentina;50%;$ 4488.81
lorazepam;PLARDOX;2.5 mg comp.x 100;Lafedar;50%;$ 5699.36
lorazepam;SIDENAR;2.5 mg comp.x 100;Teva Argentina;50%;$ 6471.02
lorazepam;SIDENAR;2.5 mg comp.x 20;Teva Argentina;50%;$ 1925.99
lorazepam;TRAPAX;2.5 mg comp.x 30;Pfizer;50%;$ 2791.21
lorazepam;KALMALIN;2.5 mg comp.x 40;Bag¿;50%;$ 277.07
lorazepam;CALMATRON;2.5 mg comp.x 50;Savant Generic;50%;$ 149.92
lorazepam;PLARDOX;2.5 mg comp.x 50;Lafedar;50%;$ 3608.95
lorazepam;APLACASSE;2.5 mg comp.x 50;Siegfried;50%;$ 4392.69
lorazepam;SIDENAR;2.5 mg comp.x 50;Teva Argentina;50%;$ 4592.66
lorazepam;TRAPAX;2.5 mg comp.x 50;Pfizer;50%;$ 4696.28
lorazepam;TRAPAX;2.5 mg comp.x 60;Pfizer;50%;$ 5742.37
lorazepam;LORAZEPAN CHOBET;4 mg a.x 1;Soubeiran Chobe;50%;$ 2944.45
lornoxicam;XEFO RAPID;8 mg comp.rec.x 30;Takeda;50%;$ 430.77
losartán;FRABAN;100 mg comp. rec.x 30;Francelab;60%;$ 10536.6
losartán;PAXON XR;100 mg comp.lib.cont.x30;Gador;60%;$ 16386.59
losartán;PAXON;100 mg comp.rec.x 28;Gador;60%;$ 457.38
losartán;LOSARTAN PFIZER;100 mg comp.rec.x 30;Pfizer;60%;$ 1181.55
losartán;LOREBIL 100;100 mg comp.rec.x 30;G¿minis Farmac¿;60%;$ 8151.89
losartán;VINTEX;100 mg comp.rec.x 30;Rospaw;60%;$ 10078.62
losartán;PRESIMAX 100;100 mg comp.rec.x 30;Bag¿;60%;$ 10182.16
losartán;LOCTENK;100 mg comp.rec.x 30;Biotenk;60%;$ 10493.05
losartán;PAXON;100 mg comp.rec.x 30;Gador;60%;$ 11086.67
losartán;ENROMIC;100 mg comp.rec.x 30;Microsules Arg.;60%;$ 11170.84
losartán;VASEXTEN 100;100 mg comp.rec.x 30;Laboratorios Be;60%;$ 11891.3
losartán;LOSACOR;100 mg comp.rec.x 30;Roemmers;60%;$ 12426
losartán;PAXON;100 mg comp.rec.x 56;Gador;60%;$ 1755.09
losartán;LOREBIL 100;100 mg comp.rec.x 60;G¿minis Farmac¿;60%;$ 14176.1
losartán;PAXON;100 mg comp.rec.x 60;Gador;60%;$ 20960.68
losartán;TACARDIA;100 mg comp.x 28;Richmond;60%;$ 11544.68
losartán;CARTAN;100 mg comp.x 30;Eurofarma;60%;$ 8910.72
losartán;KLOSARTAN;100 mg comp.x 30;Klonal;60%;$ 9025.06
losartán;LOSARTAN RICHET;100 mg comp.x 30;Richet;60%;$ 9614.4
losartán;ANTIPRESOL;100 mg comp.x 30;Fecofar;60%;$ 9661.92
losartán;PRISONIL 100;100 mg comp.x 30;Lepetit;60%;$ 10539.83
losartán;TEMISARTAN;100 mg comp.x 30;Temis-Lostal¿;60%;$ 10677.47
losartán;LOPLAC;100 mg comp.x 30;Casasco;60%;$ 11889.41
losartán;FENSARTAN;100 mg comp.x 30;Elea;60%;$ 12385.16
losartán;LOPLAC XR;100 mg comp.x 30;Casasco;60%;$ 17962.14
losartán;COZAAREX;100 mg comp.x 30;Organon Arg.;60%;$ 19551.17
losartán;LOSARTAN RICHET;100 mg comp.x 60;Richet;60%;$ 18446.55
losartán;PRISONIL 100;100 mg comp.x 60;Lepetit;60%;$ 18460.22
losartán;FRABAN 50;50 mg comp. rec.x 30;Francelab;60%;$ 7899.04
losartán;PAXON;50 mg comp.rec.x 28;Gador;60%;$ 753.14
losartán;LOSARTAN PFIZER;50 mg comp.rec.x 30;Pfizer;60%;$ 916.26
losartán;LOREBIL 50;50 mg comp.rec.x 30;G¿minis Farmac¿;60%;$ 6184
losartán;VINTEX;50 mg comp.rec.x 30;Rospaw;60%;$ 7894.75
losartán;TACICUL;50 mg comp.rec.x 30;Denver Farma;60%;$ 8069.51
losartán;PRISONIL;50 mg comp.rec.x 30;Lepetit;60%;$ 8095.1
losartán;PRESIMAX 50;50 mg comp.rec.x 30;Bag¿;60%;$ 8328.32
losartán;LOCTENK;50 mg comp.rec.x 30;Biotenk;60%;$ 8582.1
losartán;ENROMIC;50 mg comp.rec.x 30;Microsules Arg.;60%;$ 9159.37
losartán;PAXON;50 mg comp.rec.x 30;Gador;60%;$ 9283.74
losartán;VASEXTEN 50;50 mg comp.rec.x 30;Laboratorios Be;60%;$ 9722.03
losartán;LOSACOR;50 mg comp.rec.x 30;Roemmers;60%;$ 10162.8
losartán;PAXON;50 mg comp.rec.x 56;Gador;60%;$ 753.61
losartán;LOREBIL 50;50 mg comp.rec.x 60;G¿minis Farmac¿;60%;$ 11780.11
losartán;LOCTENK;50 mg comp.rec.x 60;Biotenk;60%;$ 14961.03
losartán;PRESIMAX 50;50 mg comp.rec.x 60;Bag¿;60%;$ 15571.26
losartán;PRISONIL;50 mg comp.rec.x 60;Lepetit;60%;$ 16190.34
losartán;ENROMIC;50 mg comp.rec.x 60;Microsules Arg.;60%;$ 17444.24
losartán;PAXON;50 mg comp.rec.x 60;Gador;60%;$ 17516.54
losartán;LOSACOR;50 mg comp.rec.x 60;Roemmers;60%;$ 19183.6
losartán;PRESINOR;50 mg comp.x 15;Lafedar;60%;$ 4197.04
losartán;TACARDIA;50 mg comp.x 28;Richmond;60%;$ 334.6
losartán;LOSARTAN TECHSPERE;50 mg comp.x 30;Techsphere;60%;$ 4846.02
losartán;JESAN;50 mg comp.x 30;Savant Generic;60%;$ 6960.81
losartán;KLOSARTAN;50 mg comp.x 30;Klonal;60%;$ 7295.39
losartán;LOSARTAN VANNIER;50 mg comp.x 30;Vannier;60%;$ 7746.62
losartán;ANTIPRESOL;50 mg comp.x 30;Fecofar;60%;$ 7883.08
losartán;TEMISARTAN;50 mg comp.x 30;Temis-Lostal¿;60%;$ 8938.2
losartán;PRESINOR;50 mg comp.x 30;Lafedar;60%;$ 8948.8
losartán;CARTAN;50 mg comp.x 30;Eurofarma;60%;$ 8957.09
losartán;CORTICOSAN;50 mg comp.x 30;Fabra;60%;$ 8968.04
losartán;TACARDIA;50 mg comp.x 30;Richmond;60%;$ 9369.44
losartán;LOPLAC;50 mg comp.x 30;Casasco;60%;$ 9740.56
losartán;FENSARTAN;50 mg comp.x 30;Elea;60%;$ 10009.04
losartán;COZAAREX;50 mg comp.x 30;Organon Arg.;60%;$ 12133.64
losartán;LOSARTAN RICHET;50 mg comp.x 30 (TRZB);Richet;60%;$ 7752.52
losartán;TACARDIA;50 mg comp.x 56;Richmond;60%;$ 633.12
losartán;LOSARTAN VANNIER;50 mg comp.x 60;Vannier;60%;$ 14534.6
losartán;LOSARTAN RICHET;50 mg comp.x 60;Richet;60%;$ 15370.11
losartán;TACARDIA;50 mg comp.x 60;Richmond;60%;$ 16704.29
losartán;LOPLAC;50 mg comp.x 60;Casasco;60%;$ 18425.74
losartán;FENSARTAN;50 mg comp.x 60;Elea;60%;$ 19046.02
losartán;FENSARTAN CRONOS;comp.lib.cont.x30;Elea;60%;$ 17384.98
losartán;NITEN 100;comp.rec.x 30;Teva Argentina;60%;$ 12907.4
losartán;NITEN 100;comp.rec.x 60;Teva Argentina;60%;$ 25271.07
losartán;NITEN;comp.x 15;Teva Argentina;60%;$ 162.86
losartán;NITEN;comp.x 30;Teva Argentina;60%;$ 10420.75
losartán;NITEN;comp.x 60;Teva Argentina;60%;$ 19874.1
losartán+hidroclorotiazida;LOPLAC D;100 mg/25 mg comp.x 30;Casasco;50%;$ 15469.27
losartán+hidroclorotiazida;PAXON D;100/12.5 mg comp.rec.x30;Gador;50%;$ 14842.02
losartán+hidroclorotiazida;COZAAREX D;100/12.5 mg comp.x 30;Organon Arg.;50%;$ 21289.22
losartán+hidroclorotiazida;PAXON D;100/25 mg comp.rec.x 28;Gador;50%;$ 1217.29
losartán+hidroclorotiazida;CARTAN D 100;100/25 mg comp.rec.x 30;Eurofarma;50%;$ 3504.5
losartán+hidroclorotiazida;ENROMIC D;100/25 mg comp.rec.x 30;Microsules Arg.;50%;$ 14589.23
losartán+hidroclorotiazida;PAXON D;100/25 mg comp.rec.x 30;Gador;50%;$ 14981.17
losartán+hidroclorotiazida;VASEXTEN D;100/25 mg comp.rec.x 30;Laboratorios Be;50%;$ 15358.81
losartán+hidroclorotiazida;LOSACOR D;100/25 mg comp.rec.x 30;Roemmers;50%;$ 16149
losartán+hidroclorotiazida;ANTIPRESOL D;100/25 mg comp.x 30;Fecofar;50%;$ 12838.83
losartán+hidroclorotiazida;COZAAREX D;100/25 mg comp.x 30;Organon Arg.;50%;$ 18575.93
losartán+hidroclorotiazida;PRESIMAX D 100;100/25mg comp.rec.x 30;Bag¿;50%;$ 14675.45
losartán+hidroclorotiazida;LOPLAC D;50 mg/12.5 mg comp.x 30;Casasco;50%;$ 14254.9
losartán+hidroclorotiazida;PAXON D;50/12.5 mg comp.rec.x 28;Gador;50%;$ 565.17
losartán+hidroclorotiazida;CARTAN D;50/12.5 mg comp.rec.x 30;Eurofarma;50%;$ 3167.71
losartán+hidroclorotiazida;PRISONIL D;50/12.5 mg comp.rec.x 30;Lepetit;50%;$ 7758.76
losartán+hidroclorotiazida;TACICUL D;50/12.5 mg comp.rec.x 30;Denver Farma;50%;$ 11242.22
losartán+hidroclorotiazida;PRESIMAX D 50;50/12.5 mg comp.rec.x 30;Bag¿;50%;$ 12176.63
losartán+hidroclorotiazida;ENROMIC D;50/12.5 mg comp.rec.x 30;Microsules Arg.;50%;$ 13428.12
losartán+hidroclorotiazida;PAXON D;50/12.5 mg comp.rec.x 30;Gador;50%;$ 13523.61
losartán+hidroclorotiazida;VASEXTEN D;50/12.5 mg comp.rec.x 30;Laboratorios Be;50%;$ 13975.16
losartán+hidroclorotiazida;LOSACOR D;50/12.5 mg comp.rec.x 30;Roemmers;50%;$ 14863
losartán+hidroclorotiazida;PAXON D;50/12.5 mg comp.rec.x 56;Gador;50%;$ 1121.77
losartán+hidroclorotiazida;PAXON D;50/12.5 mg comp.rec.x 60;Gador;50%;$ 26753.38
losartán+hidroclorotiazida;TACARDIA D;50/12.5 mg comp.x 28;Richmond;50%;$ 13711.37
losartán+hidroclorotiazida;KLOSARTAN-D;50/12.5 mg comp.x 30;Klonal;50%;$ 9971.05
losartán+hidroclorotiazida;ANTIPRESOL D;50/12.5 mg comp.x 30;Fecofar;50%;$ 11564.37
losartán+hidroclorotiazida;COZAAREX D;50/12.5 mg comp.x 30;Organon Arg.;50%;$ 17020.63
losartán+hidroclorotiazida;PRESINOR D;comp.rec.x 15;Lafedar;50%;$ 6337.75
losartán+hidroclorotiazida;LOCTENK D;comp.rec.x 30;Biotenk;50%;$ 12111.12
losartán+hidroclorotiazida;TEMISARTAN DIUR 50/12.5;comp.rec.x 30;Temis-Lostal¿;50%;$ 12664.09
losartán+hidroclorotiazida;PRESINOR D;comp.rec.x 30;Lafedar;50%;$ 13168.44
losartán+hidroclorotiazida;LOCTENK D 100;comp.rec.x 30;Biotenk;50%;$ 13917.45
losartán+hidroclorotiazida;TEMISARTAN DIUR 100/25;comp.rec.x 30;Temis-Lostal¿;50%;$ 13945.66
losartán+hidroclorotiazida;NITEN D 100;comp.rec.x 30;Teva Argentina;50%;$ 16450.64
losartán+hidroclorotiazida;FENSARTAN D;comp.x 30;Elea;50%;$ 14940.57
losartán+hidroclorotiazida;NITEN D;comp.x 30;Teva Argentina;50%;$ 15058.17
loteprednol+tobramicina;LOTEVIS T;susp.oft.x 5 ml;Max Vision;50%;$ 5551.3
loteprednol+tobramicina;TOBRABIOTIC SOFT;susp.oft.x 5 ml;Denver Farma;50%;$ 6222.1
loteprednol+tobramicina;LOTEMICIN;susp.oft.x 5 ml;Poen;50%;$ 6992.29
loteprednol+tobramicina;LOPRED BIOTIC;susp.oft.x 5 ml;Elea;50%;$ 7679.86
loteprednol,etabonato;LOTEVIS;susp.oft.x 5 ml;Max Vision;50%;$ 7049.22
loteprednol,etabonato;TALOF;susp.oft.x 5 ml;Max Vision;50%;$ 7497.19
loteprednol,etabonato;LOPRED;susp.oft.x 5 ml;Elea;50%;$ 8156.52
loteprednol,etabonato;LOTESOFT;susp.oft.x 5 ml;Poen;50%;$ 8412.33
loteprednol,etabonato;LOTESOFT;ung.oft.x 3.5 g;Poen;50%;$ 6742.37
loxoprofeno sódico anhidro;TABE;60 mg comp.x 20;Laboratorios Be;50%;$ 8090.54
luteína+vit.c+vit.e+asoc.;DIARIS;cáps.x 30;Poen;40%;$ 17990
magnesio;HOLOMAGNESIO;comp.rec.x 100;Elea;40%;$ 74899.69
magnesio;HOLOMAGNESIO;comp.rec.x 20;Elea;40%;$ 18254.02
magnesio;TOTAL MAGNESIANO;comp.rec.x 30;Temis-Lostal¿;40%;$ 27183.08
magnesio;HOLOMAGNESIO;comp.rec.x 50;Elea;40%;$ 44669.92
magnesio;TOTAL MAGNESIANO;comp.rec.x 60;Temis-Lostal¿;40%;$ 52185.86
magnesio;MAGNEBE;comp.x 24;Dom¿nguez;40%;$ 12393.13
magnesio;TOTAL MAGNESIANO EFERVESCENTE;comp.x 24;Temis-Lostal¿;40%;$ 21619.68
magnesio;MAGNEBE;comp.x 60;Dom¿nguez;40%;$ 26968.2
magnesio;TOTAL MAGNESIANO;gran.fco.x 100 g;Temis-Lostal¿;40%;$ 22534.04
magnesio;TOTAL MAGNESIANO;gran.fco.x 50 g;Temis-Lostal¿;40%;$ 12014.15
magnesio;TOTAL MAGNESIANO LIMON;pvo.gran.x 50 g;Temis-Lostal¿;40%;$ 18436.55
magnesio;TOTAL MAGNESIANO EFERVESCENTE;pvo.sob.x 30;Temis-Lostal¿;40%;$ 26257.99
magnesio+asoc.;TOTAL MAGNESIANO ENERGIZANTE;comp.eferv.x 12;Temis-Lostal¿;40%;$ 2703.86
magnesio+asoc.;TOTAL MAGNESIANO ENERGIZANTE;comp.eferv.x 24;Temis-Lostal¿;40%;$ 16857.05
magnesio+asoc.;TOTAL MAGNESIANO VITALIZANTE PLUS;comp.eferv.x 24;Temis-Lostal¿;40%;$ 16878.43
magnesio+asoc.;TOTAL MAGNESIANO ENERGIZANTE;comp.rec.x 30;Temis-Lostal¿;40%;$ 13999.7
magnesio+asoc.;TOTAL MAGNESIANO VITALIZANTE PLUS;comp.rec.x 30;Temis-Lostal¿;40%;$ 14025.48
magnesio+asoc.;TOTAL MAGNESIANO SPORT;comp.rec.x 30;Temis-Lostal¿;40%;$ 15371.53
magnesio+asoc.;TOTAL MAGNESIANO ANTIOXIDANTE;comp.rec.x 30;Temis-Lostal¿;40%;$ 17963.24
magnesio+asoc.;TOTAL MAGNESIANO B6;comp.rec.x 30;Temis-Lostal¿;40%;$ 36566.93
magnesio+asoc.;TOTAL MAGNESIANO B6;comp.rec.x 60;Temis-Lostal¿;40%;$ 25554.24
magnesio+asoc.;HOLOMAGNESIO B6;comp.x 20;Elea;40%;$ 24803.38
magnesio+asoc.;HOLOMAGNESIO B6;comp.x 50;Elea;40%;$ 54058.6
magnesio+asoc.;TOTAL MAGNESIANO STRESS;pvo.eferv.sob.x 30;Temis-Lostal¿;40%;$ 27381.03
magnesio+asoc.;TOTAL MAGNESIANO SPORT;sob.x 30;Temis-Lostal¿;40%;$ 15821
magnesio+ginseng+asoc.;TOTAL MAGNESIANO GINSENG;pvo.sob.x 30;Temis-Lostal¿;40%;$ 29932.86
magnesio+vit.c;TOTAL MAGNESIANO VITAMINA C;comp.eferv.x 24;Temis-Lostal¿;40%;$ 22123.87
magnesio+vit.c;TOTAL MAGNESIANO VITAMINA C;pvo.eferv.sob.x 30;Temis-Lostal¿;40%;$ 27118.34
magnesio,valproato;LOGICAL;200 mg comp.x 30;Teva Argentina;80%;$ 2860.08
magnesio,valproato;LOGICAL;200 mg comp.x 60;Teva Argentina;80%;$ 5049.77
magnesio,valproato;LOGICAL;400 mg comp.x 30;Teva Argentina;80%;$ 5965.15
magnesio,valproato;LOGICAL;400 mg comp.x 60;Teva Argentina;80%;$ 11044.67
mazindol;MZ1;1 mg comp.rec.x 30;Eurofarma;50%;$ 1373.99
mazindol;MZ2;2 mg comp.rec.x 30;Eurofarma;50%;$ 1523.03
mazindol;DIMAGRIR;caps.x 30;Gador;50%;$ 1132.16
mazindol;FAGOLIP PLUS;comp.x 30;Cetus;50%;$ 15676.63
mebendazol;MEBENDAZOL FABRA;100 mg comp.x 6;Fabra;50%;$ 2654.75
mebendazol;TRU M;200 mg comp.x 6;Laboratorio Val;50%;$ 5196.3
mebendazol;MEBENDAZOL FABRA;500 mg comp.x 6;Fabra;50%;$ 4698.53
mebendazol;NEMASOLE 200;comp.x 6;Janssen-Cilag;50%;$ 164.26
mebendazol;NEMASOLE AD;comp.x 6;Janssen-Cilag;50%;$ 329.86
mebendazol;MEBUTAR 200;comp.x 6;Andr¿maco;50%;$ 5718.3
mebendazol;MEBUTAR 200;susp.x 30 ml;Andr¿maco;50%;$ 6475.6
mebendazol+tinidazol;MEBUTAR COMPUESTO;comp.rec.x 6;Andr¿maco;50%;$ 5382.07
mebendazol+tinidazol;TRU COMPUESTO;comp.x 6;Laboratorio Val;50%;$ 5033.92
mebendazol+tinidazol;MEBUTAR COMPUESTO;pvo.susp.oral x 18 g;Andr¿maco;50%;$ 6111.83
mebendazol+tinidazol;TRU COMPUESTO;susp.x 30 ml;Laboratorio Val;50%;$ 4985.08
mefenámico,ác.;PONSTIL FORTE;comp.x 15;Elea;50%;$ 2457.86
mefenámico,ác.;PONSTIL FORTE;comp.x 30;Elea;50%;$ 4507.48
meloxicam;MIOLOX;15 mg comp.ran.x 10;Baliarda;40%;$ 5173.92
meloxicam;FLEXIDOL;15 mg comp.ran.x 10;Adium;40%;$ 7001.24
meloxicam;FLEXIDOL;15 mg comp.ran.x 20;Adium;40%;$ 13751.95
meloxicam;MIOLOX;15 mg comp.ran.x 30;Baliarda;40%;$ 13041.47
meloxicam;FLEXIDOL;15 mg comp.ran.x 30;Adium;40%;$ 19986.58
meloxicam;MOBIC;15 mg comp.x 10;Boehringer Inge;40%;$ 829.78
meloxicam;TENARON;15 mg comp.x 10;Siegfried;40%;$ 989.52
meloxicam;MELOXICAM DENVER FARMA;15 mg comp.x 10;Denver Farma;40%;$ 6122.97
meloxicam;MELL;15 mg comp.x 10;Microsules Arg.;40%;$ 6370.43
meloxicam;BRONAX;15 mg comp.x 10;Roemmers;40%;$ 7064.4
meloxicam;DOMINADOL;15 mg comp.x 20;Craveri;40%;$ 485.14
meloxicam;TENARON;15 mg comp.x 20;Siegfried;40%;$ 1960.51
meloxicam;MOBIC;15 mg comp.x 20;Boehringer Inge;40%;$ 2567.8
meloxicam;LOXITENK;15 mg comp.x 20;Biotenk;40%;$ 12111.59
meloxicam;BRONAX;15 mg comp.x 20;Roemmers;40%;$ 13821
meloxicam;MELL;15 mg comp.x 30;Microsules Arg.;40%;$ 16834.75
meloxicam;LOXITENK;15 mg comp.x 30;Biotenk;40%;$ 17548.25
meloxicam;MELOXICAM DENVER FARMA;15 mg comp.x 30;Denver Farma;40%;$ 17707.97
meloxicam;BRONAX;15 mg comp.x 30;Roemmers;40%;$ 20098.8
meloxicam;BRONAX CB;15 mg cáps.bl.x 10;Roemmers;40%;$ 7050
meloxicam;BRONAX CB;15 mg cáps.bl.x 30;Roemmers;40%;$ 19704.6
meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 10;Adium;40%;$ 7505.92
meloxicam;FLEXIDOL CB;15 mg cáps.blandas x 20;Adium;40%;$ 14682.97
meloxicam;MELOXICAM TEVA;15 mg tabl.x 10;Teva Argentina;40%;$ 499.04
meloxicam;MELOXICAM TEVA;15 mg tabl.x 30;Teva Argentina;40%;$ 1057.72
meloxicam;TENARON;7.5 mg comp.x 15;Siegfried;40%;$ 1118.88
meloxicam;VIROBRON;comp.x 15;Temis-Lostal¿;40%;$ 2923.56
meloxicam;VIROBRON;comp.x 30;Temis-Lostal¿;40%;$ 20402.61
meloxicam+betametasona+asoc.;BRONAX CORT;comp.rec.x 10;Roemmers;40%;$ 7788
meloxicam+betametasona+asoc.;BRONAX CORT;comp.rec.x 20;Roemmers;40%;$ 14869.8
meloxicam+pridinol;MELOXICAM + PRIDINOL TEVA;15/4 mg tab.x 10;Teva Argentina;40%;$ 934.18
meloxicam+pridinol;MELOXICAM + PRIDINOL TEVA;15/4 mg tabl.x 20;Teva Argentina;40%;$ 748.33
meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 10;Adium;40%;$ 7885.7
meloxicam+pridinol;ALDORON FLEX;comp.ran.x 20;Teva Argentina;40%;$ 312.5
meloxicam+pridinol;FLEXIDOL RELAX;comp.ran.x 20;Adium;40%;$ 15467.74
meloxicam+pridinol;BRONAX FLEX;comp.x 10;Roemmers;40%;$ 7549.8
meloxicam+pridinol;MIO VIROBRON;comp.x 10;Temis-Lostal¿;40%;$ 7609.72
meloxicam+pridinol;BRONAX FLEX;comp.x 20;Roemmers;40%;$ 14597.4
meloxicam+pridinol;MIO VIROBRON;comp.x 20;Temis-Lostal¿;40%;$ 14809.56
memantine;NEUROPLUS;10 mg comp.rec.ran.x 20;Baliarda;50%;$ 12058.29
memantine;TONIBRAL;10 mg comp.rec.ran.x 30;Ariston;50%;$ 15908.37
memantine;PRILBEN;10 mg comp.rec.ran.x 30;Richmond;50%;$ 16152.96
memantine;NEUROPLUS;10 mg comp.rec.ran.x 30;Baliarda;50%;$ 16929.26
memantine;NEUROPLUS;10 mg comp.rec.ran.x 40;Baliarda;50%;$ 23856.92
memantine;NEUROPLUS;10 mg comp.rec.ran.x 60;Baliarda;50%;$ 30060
memantine;PRONERVON;10 mg comp.rec.x 30;Teva Argentina;50%;$ 401.72
memantine;EXEM;10 mg comp.rec.x 30;Biotechno Pharm;60%;$ 3185.68
memantine;FENTINA;10 mg comp.x 30;Megalabs Argent;50%;$ 12381.88
memantine;MEMANTINA RICHET;10 mg comp.x 30;Richet;50%;$ 13228.58
memantine;LUCIDEX 10;10 mg comp.x 30;Bag¿;50%;$ 18742.8
memantine;MEMANTINA RICHET;10 mg comp.x 60;Richet;50%;$ 28872.25
memantine;LUCIDEX 10;10 mg comp.x 60;Bag¿;50%;$ 36148.71
memantine;MEMANTINA TEVA;10 mg tab.x 30;Teva Argentina;50%;$ 15089.32
memantine;CARRIER XR;14 mg comp.x 30;Casasco;50%;$ 17916.19
memantine;TONIBRAL XR;14 mg cáps.x 10;Gador;50%;$ 566.13
memantine;TONIBRAL XR;14 mg cáps.x 30;Ariston;50%;$ 16743.14
memantine;NEUROPLUS XR;14mg comp.rec.lib.pr.x30;Baliarda;50%;$ 20057.33
memantine;TONIBRAL 20;20 mg comp.rec.ran.x 30;Ariston;50%;$ 21797.5
memantine;PRILBEN;20 mg comp.rec.ran.x 30;Richmond;50%;$ 21996.72
memantine;NEUROPLUS;20 mg comp.rec.ran.x 30;Baliarda;50%;$ 22170.24
memantine;LUCIDEX 20;20 mg comp.rec.ran.x 30;Bag¿;50%;$ 28075.22
memantine;PRONERVON 20;20 mg comp.rec.x 28;Teva Argentina;50%;$ 525.69
memantine;CONEXINE 20;20 mg comp.rec.x 30;Beta;50%;$ 22808.16
memantine;MEMANTINA RICHET;20 mg comp.x 30;Richet;50%;$ 19648.45
memantine;CARRIER;20 mg comp.x 30;Casasco;50%;$ 21936.14
memantine;MEMANTINA TEVA;20 mg tab.x 30;Teva Argentina;50%;$ 20368.01
memantine;CARRIER XR;21 mg comp.x 30;Casasco;50%;$ 21254.1
memantine;TONIBRAL XR;21 mg cáps.x 10;Gador;50%;$ 733.39
memantine;NEUROPLUS XR;21mg comp.rec.lib.pr.x30;Baliarda;50%;$ 23274.98
memantine;CARRIER XR;28 mg comp.x 30;Casasco;50%;$ 24643.35
memantine;LUCIDEX XR 28;28 mg cáps.x 28;Bag¿;50%;$ 36967.08
memantine;TONIBRAL XR;28 mg cáps.x 30;Ariston;50%;$ 22759.15
memantine;NEUROPLUS XR;28mg comp.rec.lib.pr.x30;Baliarda;50%;$ 27527.25
memantine;CARRIER XR;7 mg comp.x 30;Casasco;50%;$ 10542.73
memantine;NEUROPLUS XR;7mg comp.rec.lib.pro.x30;Baliarda;50%;$ 11545.05
memantine;PRECEL 20;comp.multirran.x 30;Temis-Lostal¿;50%;$ 9651.66
memantine;MERITAL;comp.ran.x 30;Roemmers;50%;$ 14461.71
memantine;MERITAL;comp.ran.x 60;Roemmers;50%;$ 28081.36
memantine;MERITAL 20;comp.rec.x 30;Roemmers;50%;$ 16053.74
memantine;CONEXINE;comp.rec.x 30;Beta;50%;$ 16924.01
memantine;CARRIER;comp.x 30;Casasco;50%;$ 16776.91
memantine;CARRIER;comp.x 60;Casasco;50%;$ 30172.12
memantine;NEUROPLUS;sol.oral x 30 ml;Baliarda;50%;$ 14603.16
memantine clorh.+donepecilo clor;VALPEX DUO;10/20mg comp.x 60(30+30);Teva Argentina;50%;$ 33285.38
